,ffs,road_class,base_capacity,opt_speed,jam_density
0,130,A,2250,85.0,120.0
1,129,A,2245,84.8,119.2
2,128,A,2240,84.6,118.4
3,127,A,2235,84.4,117.6
4,126,A,2230,84.2,116.8
5,125,A,2225,84.0,116.0
6,124,A,2220,83.8,115.2
7,123,A,2215,83.6,114.4
8,122,A,2210,83.4,113.6
9,121,A,2205,83.2,112.8
10,120,A,2200,83.0,112.0
11,119,A,2195,82.8,111.2
12,118,A,2190,82.6,110.4
13,117,A,2185,82.4,109.6
14,116,A,2180,82.2,108.8
15,115,A,2175,82.0,108.0
16,114,A,2170,81.8,107.2
17,113,A,2165,81.6,106.4
18,112,A,2160,81.4,105.6
19,111,A,2155,81.2,104.8
20,110,A,2150,81.0,104.0
21,109,A,2145,80.8,103.2
22,108,A,2140,80.6,102.4
23,107,A,2135,80.4,101.6
24,106,A,2130,80.2,100.8
25,105,A,2125,80.0,100.0
26,104,A,2120,79.8,99.2
27,103,A,2115,79.6,98.4
28,102,A,2110,79.4,97.6
29,101,A,2105,79.2,96.8
30,100,A,2100,79.0,96.0
31,99,A,2095,78.8,95.2
32,98,A,2090,78.6,94.4
33,97,A,2085,78.4,93.6
34,96,A,2080,78.2,92.8
35,95,A,2075,78.0,92.0
36,94,A,2070,77.8,91.2
37,93,A,2065,77.6,90.4
38,92,A,2060,77.4,89.6
39,91,A,2055,77.2,88.8
40,90,A,2050,77.0,88.0
41,120,S,2150,80.0,120.0
42,119,S,2145,79.8,119.2
43,118,S,2140,79.6,118.4
44,117,S,2135,79.4,117.6
45,116,S,2130,79.2,116.8
46,115,S,2125,79.0,116.0
47,114,S,2120,78.8,115.2
48,113,S,2115,78.6,114.4
49,112,S,2110,78.4,113.6
50,111,S,2105,78.2,112.8
51,110,S,2100,78.0,112.0
52,109,S,2095,77.8,111.2
53,108,S,2090,77.6,110.4
54,107,S,2085,77.4,109.6
55,106,S,2080,77.2,108.8
56,105,S,2075,77.0,108.0
57,104,S,2070,76.8,107.2
58,103,S,2065,76.6,106.4
59,102,S,2060,76.4,105.6
60,101,S,2055,76.2,104.8
61,100,S,2050,76.0,104.0
62,99,S,2045,75.8,103.2
63,98,S,2040,75.6,102.4
64,97,S,2035,75.4,101.6
65,96,S,2030,75.2,100.8
66,95,S,2025,75.0,100.0
67,94,S,2020,74.8,99.2
68,93,S,2015,74.6,98.4
69,92,S,2010,74.4,97.6
70,91,S,2005,74.2,96.8
71,90,S,2000,74.0,96.0
72,110,GPG,2000,70.0,90.0
73,109,GPG,1995,69.8,89.8
74,108,GPG,1990,69.6,89.6
75,107,GPG,1985,69.4,89.4
76,106,GPG,1980,69.2,89.2
77,105,GPG,1975,69.0,89.0
78,104,GPG,1970,68.8,88.8
79,103,GPG,1965,68.6,88.6
80,102,GPG,1960,68.4,88.4
81,101,GPG,1955,68.2,88.2
82,100,GPG,1950,68.0,88.0
83,99,GPG,1945,67.8,87.8
84,98,GPG,1940,67.6,87.6
85,97,GPG,1935,67.4,87.4
86,96,GPG,1930,67.2,87.2
87,95,GPG,1925,67.0,87.0
88,94,GPG,1920,66.8,86.8
89,93,GPG,1915,66.6,86.6
90,92,GPG,1910,66.4,86.4
91,91,GPG,1905,66.2,86.2
92,90,GPG,1900,66.0,86.0
93,89,GPG,1895,65.8,85.8
94,88,GPG,1890,65.6,85.6
95,87,GPG,1885,65.4,85.4
96,86,GPG,1880,65.2,85.2
97,85,GPG,1875,65.0,85.0
98,84,GPG,1870,64.8,84.8
99,83,GPG,1865,64.6,84.6
100,82,GPG,1860,64.4,84.4
101,81,GPG,1855,64.2,84.2
102,80,GPG,1850,64.0,84.0
