,veh_type,road_class,lanes,max_util_rate,max_gradient,conv_factor
0,lv,,,1.0,0.02,1.0
1,hv,AS,3.0,0.749,0.02,1.94
2,hv,AS,3.0,1.0,0.02,1.6
3,hv,GGP,,0.749,0.02,1.94
4,hv,GGP,,1.0,0.02,1.6
5,hv,AS,2.0,0.749,0.02,2.4
6,hv,AS,2.0,1.0,0.02,2.1
7,lv,,,1.0,0.03,1.07
8,hv,AS,3.0,0.749,0.03,2.12
9,hv,AS,3.0,1.0,0.03,1.75
10,hv,GGP,,0.749,0.03,2.12
11,hv,GGP,,1.0,0.03,1.75
12,hv,AS,2.0,0.749,0.03,2.54
13,hv,AS,2.0,1.0,0.03,2.22
14,lv,,,1.0,0.04,1.2
15,hv,AS,3.0,0.749,0.04,2.38
16,hv,AS,3.0,1.0,0.04,1.96
17,hv,GGP,,0.749,0.04,2.38
18,hv,GGP,,1.0,0.04,1.96
19,hv,AS,2.0,0.749,0.04,2.77
20,hv,AS,2.0,1.0,0.04,2.43
21,lv,,,1.0,0.05,1.33
22,hv,AS,3.0,0.749,0.05,2.73
23,hv,AS,3.0,1.0,0.05,2.25
24,hv,GGP,,0.749,0.05,2.73
25,hv,GGP,,1.0,0.05,2.25
26,hv,AS,2.0,0.749,0.05,3.02
27,hv,AS,2.0,1.0,0.05,2.64
